date,year,number_1,number_2,number_3,number_4,number_5,number_6,number_7
2019-12-31,2019,3,4,11,19,30,39,40
2019-12-31,2019,3,4,11,19,30,39,40
2019-12-27,2019,13,27,34,36,38,45,50
2019-12-24,2019,1,6,12,13,19,23,38
2019-12-20,2019,14,23,28,29,30,33,48
2019-12-17,2019,19,20,23,29,35,40,47
2019-12-13,2019,2,12,14,15,26,34,39
2019-12-10,2019,7,11,19,30,42,43,50
2019-12-06,2019,9,11,17,19,35,36,43
2019-12-03,2019,2,10,20,30,32,35,50
2019-11-29,2019,3,8,14,15,24,33,48
2019-11-26,2019,13,14,18,22,42,44,47
2019-11-22,2019,5,9,23,29,30,31,37
2019-11-19,2019,5,13,23,25,27,32,44
2019-11-15,2019,15,16,33,36,38,43,49
2019-11-12,2019,1,14,16,22,32,39,45
2019-11-08,2019,3,5,10,18,26,33,46
2019-11-05,2019,5,7,15,18,35,37,45
2019-11-01,2019,10,20,24,25,32,39,46
2019-10-29,2019,10,17,18,22,23,25,34
2019-10-25,2019,6,11,16,18,23,26,40
2019-10-22,2019,1,4,6,9,25,31,43
2019-10-18,2019,3,21,29,37,40,43,44
2019-10-15,2019,17,18,22,27,29,31,34
